iter	Logloss
0	0.68933983
1	0.6858069318
2	0.6824647097
3	0.6791572608
4	0.6761696459
5	0.6731431083
6	0.6706381006
7	0.6682453949
8	0.6659552937
9	0.663691662
10	0.6615315525
11	0.6595912019
12	0.6578498829
13	0.6560187192
14	0.6544095066
15	0.6528551589
16	0.651355428
17	0.6499870831
18	0.6485374685
19	0.6472940552
20	0.646101533
21	0.6447264942
22	0.6433845951
23	0.6421704023
24	0.6411868277
25	0.6402746632
26	0.6393837224
27	0.6385648466
28	0.6375443742
29	0.6366643167
30	0.6357548343
31	0.6349586161
32	0.6343092615
33	0.6335053519
34	0.6327616021
35	0.6321637085
36	0.631628961
37	0.6309861967
38	0.6305087014
39	0.629995373
40	0.6294377957
41	0.6289193997
42	0.6284154265
43	0.6278985406
44	0.6274210533
45	0.627055307
46	0.6266397855
47	0.6261894568
48	0.6257363736
49	0.6253313053
50	0.6250263591
51	0.6247284991
52	0.6243768179
53	0.6240060642
54	0.6237114218
55	0.623357226
56	0.6230396171
57	0.6227249573
58	0.6224866311
59	0.6222000783
60	0.6219202403
61	0.6216167061
62	0.6213448332
63	0.6210761323
64	0.6208000368
65	0.6205594534
66	0.6203357472
67	0.6201101919
68	0.6198695833
69	0.6196537019
70	0.6194547438
71	0.6192391095
72	0.6190599019
73	0.6188162831
74	0.6186066595
75	0.6184386259
76	0.6182361542
77	0.6180242601
78	0.6178460372
79	0.6176623588
80	0.6174692672
81	0.6173228194
82	0.6171469187
83	0.6169788413
84	0.616792707
85	0.6166173773
86	0.6164883263
87	0.6163662305
88	0.6162367116
89	0.6160817669
90	0.6159554823
91	0.615815488
92	0.6156734085
93	0.6155392466
94	0.6153632899
95	0.6152197956
96	0.6150861187
97	0.6149612111
98	0.6148639825
99	0.6147652045
100	0.6146020333
101	0.6144434063
102	0.6143351247
103	0.614202604
104	0.6140836241
105	0.6139864675
106	0.6138832167
107	0.6137952072
108	0.613671275
109	0.6135713884
110	0.6134327595
111	0.6133397756
112	0.6132263109
113	0.6131201953
114	0.6129980862
115	0.6128603582
116	0.6127558793
117	0.6126688032
118	0.6125599433
119	0.6124526859
120	0.6123371628
121	0.6122421034
122	0.6121403505
123	0.6120675186
124	0.6119444696
125	0.6118484035
126	0.6117765909
127	0.6116820979
128	0.6116094388
129	0.6115178251
130	0.6114368529
131	0.6113606203
132	0.6112818198
133	0.611189773
134	0.6111136636
135	0.6110190566
136	0.6109242417
137	0.6108364096
138	0.6107586974
139	0.6106522836
140	0.6105859676
141	0.6105193238
142	0.6104215131
143	0.61034514
144	0.6102690844
145	0.6102000424
146	0.6101565034
147	0.6100958593
148	0.6100337243
149	0.6099432466
150	0.6098842442
151	0.6098108721
152	0.6097319261
153	0.6096720949
154	0.6095794981
155	0.6095177355
156	0.6094421619
157	0.6093867638
158	0.6093393954
159	0.6092754639
160	0.6092065152
161	0.6091553328
162	0.6090991217
163	0.6090058789
164	0.6089616522
165	0.6089148817
166	0.6088563151
167	0.6087921673
168	0.6087273203
169	0.6086346122
170	0.6085570938
171	0.6085168332
172	0.6084511878
173	0.608442808
174	0.6083972428
175	0.608335555
176	0.6083327589
177	0.6082594548
178	0.6081907697
179	0.6081567525
180	0.6080858745
181	0.6080132534
182	0.6079459517
183	0.607855245
184	0.6078222661
185	0.6077701681
186	0.6077243638
187	0.6076960458
188	0.6076644923
189	0.6076055653
190	0.6075818378
191	0.6075490167
192	0.607488258
193	0.6074611215
194	0.6074290958
195	0.6073972327
196	0.6073513005
197	0.6073006653
198	0.6072523503
199	0.6071829722
200	0.6071414685
201	0.6070673542
202	0.6070279554
203	0.6070042003
204	0.6069610997
205	0.6069254925
206	0.6068776215
207	0.6068170544
208	0.6067624253
209	0.6066895397
210	0.6066578058
211	0.6066246812
212	0.606596205
213	0.6065933744
214	0.6065483444
215	0.6064914297
216	0.6064610445
217	0.6064082482
218	0.6063709917
219	0.6063030099
220	0.6062539631
221	0.6061942211
222	0.6061513327
223	0.6060917629
224	0.6060361523
225	0.6059861518
226	0.6059367355
227	0.6058676728
228	0.6058411245
229	0.6058045156
230	0.6057853662
231	0.6057308539
232	0.6056947724
233	0.6056706651
234	0.6056425205
235	0.6056129212
236	0.6055618636
237	0.6055279965
238	0.6054831177
239	0.6054305748
240	0.6054045478
241	0.6053772329
242	0.6053305723
243	0.6053009077
244	0.6052541745
245	0.6051913637
246	0.6051339915
247	0.6051139241
248	0.6050614485
249	0.6050188307
250	0.6049748467
251	0.6049441874
252	0.6049167403
253	0.6048910347
254	0.6048431268
255	0.6048190467
256	0.6048091591
257	0.6047898242
258	0.604745176
259	0.6046951386
260	0.6046720405
261	0.6046680246
262	0.6046318728
263	0.6046058695
264	0.6045636069
265	0.6045227045
266	0.6044739333
267	0.6044477316
268	0.6044125311
269	0.6043840974
270	0.604333743
271	0.6042962456
272	0.6042628791
273	0.6042260038
274	0.6042060046
275	0.6041849721
276	0.6041389637
277	0.6041171703
278	0.6040856271
279	0.6040450365
280	0.6040420508
281	0.6040113984
282	0.603960462
283	0.6039387751
284	0.6039311535
285	0.6039071001
286	0.6038838658
287	0.6038514817
288	0.6038155822
289	0.6037813346
290	0.6037417449
291	0.6037121242
292	0.6036868749
293	0.6036534111
294	0.60362172
295	0.6036045501
296	0.6035651789
297	0.6035372588
298	0.603528212
299	0.6034879951
300	0.6034771385
301	0.6034466648
302	0.6034025662
303	0.6033668745
304	0.6033342997
305	0.6033065295
306	0.6032663731
307	0.6032134954
308	0.6031760936
309	0.6031435383
310	0.6031075469
311	0.6030678868
312	0.6030529235
313	0.6030272558
314	0.6030134194
315	0.6029886915
316	0.6029770103
317	0.6029675421
318	0.6029424091
319	0.6029107975
320	0.6028805873
321	0.602848982
322	0.6028155934
323	0.602804294
324	0.6027732024
325	0.6027663126
326	0.6027445645
327	0.6027201994
328	0.6027102707
329	0.6026737286
330	0.6026566971
331	0.6026205373
332	0.6025968254
333	0.6025625179
334	0.6025303574
335	0.6024611895
336	0.6024525841
337	0.602411131
338	0.6023635897
339	0.6023482479
340	0.6023471312
341	0.6023250038
342	0.6023064931
343	0.6022907813
344	0.6022735356
345	0.6022401356
346	0.602207147
347	0.6021845389
348	0.60216303
349	0.6021340053
350	0.6021266654
351	0.6021019525
352	0.6020842678
353	0.6020632638
354	0.6020510704
355	0.6020300484
356	0.6020044367
357	0.601965825
358	0.6019464928
359	0.60189034
360	0.6018832671
361	0.6018782213
362	0.6018626133
363	0.6018374726
364	0.601808977
365	0.6017947002
366	0.6017783772
367	0.6017486317
368	0.6017379762
369	0.6017152518
370	0.6016818012
371	0.6016617628
372	0.6016219591
373	0.6016121031
374	0.6015784453
375	0.601529093
376	0.6015125485
377	0.6014916263
378	0.6014797316
379	0.6014446213
380	0.601435341
381	0.601397278
382	0.6013619414
383	0.6013430978
384	0.6013331701
385	0.6012977056
386	0.6012829258
387	0.6012503841
388	0.6012356595
389	0.6012140626
390	0.6011979734
391	0.6011791188
392	0.6011542452
393	0.6011302117
394	0.6011073703
395	0.6010734101
396	0.6010249733
397	0.6010001563
398	0.6009720522
399	0.6009445361
400	0.6009103942
401	0.6008950491
402	0.6008942412
403	0.6008915204
404	0.6008685631
405	0.6008369852
406	0.6008053174
407	0.6007814275
408	0.600759297
409	0.600735297
410	0.6007113919
411	0.6006722154
412	0.6006496214
413	0.6006265231
414	0.6005946597
415	0.6005722634
416	0.6005393853
417	0.6005056658
418	0.6004739371
419	0.6004590535
420	0.6004308309
421	0.6004001212
422	0.6003784612
423	0.6003639286
424	0.6003271895
425	0.6003060257
426	0.6002702404
427	0.6002556258
428	0.6002254183
429	0.6002174281
430	0.6001994373
431	0.6001822784
432	0.6001630564
433	0.6001405373
434	0.6001069163
435	0.600074183
436	0.600039591
437	0.6000160403
438	0.5999952008
439	0.599974814
440	0.5999354573
441	0.5998881064
442	0.5998731451
443	0.5998234692
444	0.5998006715
445	0.5997717872
446	0.5997462353
447	0.5997210191
448	0.5996947378
449	0.5996719897
450	0.5996251307
451	0.5995932999
452	0.5995728367
453	0.599532649
454	0.5995001577
455	0.5994862021
456	0.5994617111
457	0.599440185
458	0.599412869
459	0.5993709574
460	0.5993203919
461	0.5992898333
462	0.5992664014
463	0.5992257649
464	0.5992064027
465	0.5991879161
466	0.59917546
467	0.5991517469
468	0.5991044789
469	0.5990825518
470	0.5990445613
471	0.5990155777
472	0.5989962463
473	0.5989734814
474	0.5989509093
475	0.5989321482
476	0.5988650191
477	0.5988433009
478	0.5988139875
479	0.5987514289
480	0.5987214961
481	0.5986865554
482	0.5986626187
483	0.5986090535
484	0.5985879772
485	0.598560005
486	0.5985310556
487	0.5985026276
488	0.5984840748
489	0.5984560872
490	0.5984264878
491	0.5983988345
492	0.5983696673
493	0.5983311012
494	0.5983057889
495	0.5982830773
496	0.5982511539
497	0.5982199018
498	0.5981909968
499	0.5981594666
500	0.5981372281
501	0.5981157516
502	0.5980694495
503	0.5980423331
504	0.5980199145
505	0.597995922
506	0.5979731716
507	0.5979339062
508	0.597891082
509	0.5978706738
510	0.5978534176
511	0.5978220371
512	0.597807784
513	0.5977782942
514	0.597760959
515	0.5977411973
516	0.5977149615
517	0.5976895943
518	0.5976375632
519	0.597608526
520	0.5975904888
521	0.5975548037
522	0.597530044
523	0.5975044349
524	0.5974607795
525	0.597434606
526	0.5974159424
527	0.5973893733
528	0.5973672073
529	0.5973532977
530	0.5973286762
531	0.5973073388
532	0.5972704863
533	0.5972318249
534	0.5972012621
535	0.5971838706
536	0.5971573045
537	0.597121572
538	0.597095919
539	0.5970767345
540	0.5970474709
541	0.5970327235
542	0.5970065139
543	0.5969817934
544	0.5969602552
545	0.5969466322
546	0.5968942497
547	0.5968773027
548	0.5968484058
549	0.5967986209
550	0.5967707145
551	0.5967477504
552	0.5967215082
553	0.5966962333
554	0.5966565961
555	0.5966342198
556	0.596607106
557	0.5965770922
558	0.5965605472
559	0.5965327411
560	0.5965225
561	0.5965033163
562	0.5964803559
563	0.5964701692
564	0.5964298617
565	0.5964169502
566	0.5963911637
567	0.5963442656
568	0.596318681
569	0.5963010022
570	0.5962773046
571	0.5962500794
572	0.5962296803
573	0.5962007162
574	0.5961739604
575	0.5961472952
576	0.5961329579
577	0.5961068986
578	0.5960751497
579	0.5960549349
580	0.5960377458
581	0.5960144048
582	0.5959852858
583	0.5959623298
584	0.5959404837
585	0.595903554
586	0.59588401
587	0.5958530625
588	0.5958298217
589	0.595798594
590	0.5957789639
591	0.5957652103
592	0.5957435572
593	0.5957163217
594	0.5957082462
