iter	Passed	Remaining
0	349	348826
1	469	234033
2	636	211684
3	760	189405
4	881	175376
5	1023	169507
6	1169	165905
7	1342	166458
8	1496	164792
9	1637	162110
10	1773	159438
11	1960	161411
12	2101	159545
13	2280	160608
14	2462	161706
15	2594	159539
16	2718	157176
17	2849	155482
18	2990	154425
19	3115	152652
20	3256	151822
21	3382	150375
22	3541	150423
23	3710	150901
24	3866	150779
25	3997	149771
26	4173	150391
27	4349	150991
28	4519	151330
29	4663	150793
30	4804	150190
31	4932	149221
32	5110	149755
33	5263	149548
34	5404	149022
35	5569	149143
36	5722	148951
37	5865	148482
38	5998	147801
39	6157	147782
40	6319	147821
41	6473	147665
42	6623	147404
43	6772	147154
44	6917	146799
45	7098	147220
46	7246	146927
47	7409	146951
48	7539	146323
49	7661	145571
50	7831	145732
51	7992	145712
52	8164	145874
53	8359	146439
54	8530	146564
55	8669	146136
56	8861	146611
57	9016	146448
58	9218	147032
59	9374	146863
60	9532	146741
61	9711	146926
62	9950	147988
63	10148	148416
64	10346	148829
65	10602	150034
66	10867	151334
67	11147	152787
68	11387	153650
69	11553	153493
70	11778	154109
71	11947	153992
72	12098	153635
73	12275	153603
74	12416	153130
75	12571	152847
76	12734	152650
77	12924	152774
78	13094	152661
79	13259	152486
80	13469	152821
81	13676	153110
82	13854	153064
83	14033	153026
84	14241	153301
85	14410	153149
86	14602	153242
87	14755	152915
88	14936	152889
89	15108	152765
90	15302	152860
91	15476	152748
92	15643	152561
93	15810	152389
94	15969	152128
95	16171	152282
96	16351	152222
97	16502	151886
98	16646	151501
99	16828	151456
100	17012	151427
101	17197	151408
102	17393	151478
103	17580	151462
104	17748	151287
105	17885	150848
106	18052	150660
107	18245	150690
108	18428	150641
109	18596	150465
110	18763	150273
111	18929	150087
112	19078	149759
113	19265	149726
114	19438	149592
115	19621	149527
116	19799	149426
117	19972	149283
118	20166	149297
119	20334	149119
120	20517	149052
121	20678	148820
122	20821	148456
123	20993	148308
124	21156	148093
125	21358	148153
126	21544	148095
127	21712	147916
128	21899	147865
129	22044	147531
130	22211	147344
131	22394	147263
132	22540	146933
133	22722	146846
134	22858	146461
